Pair,Strategy,Total_Return_%,Win_Rate_%,Total_Trades,Winning_Trades,Losing_Trades,Avg_Win_%,Avg_Loss_%,Max_Drawdown_%,Sharpe_Ratio,Profit_Factor,Risk_Adjusted_Return,Final_Capital,Win_Rate_Score,Return_Score,Sharpe_Score,Drawdown_Score,Composite_Score,Rank
ETH-USD,Pure 2%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
ETH-USD,Pure 3%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
ETH-USD,Pure 5%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
ETH-USD,Dynamic 3%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
ETH-USD,MACD Standard,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
ETH-USD,RSI Standard,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
ETH-USD,Swing 2.5%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
SOL-USD,Pure 2%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
SOL-USD,Pure 3%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
SOL-USD,Pure 5%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
SOL-USD,Dynamic 3%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
SOL-USD,MACD Standard,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
SOL-USD,RSI Standard,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
SOL-USD,Swing 2.5%,0.0,0.0,0,0,0,0,0,0.0,0.0,inf,0.0,1000,0.0,0.5,0.5,0.5,0.3,1.0
